2024-05-30 14:45:19.289 | DEBUG    | metagpt.config:__init__:50 - Config loading done.
2024-05-30 16:09:59.820 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 16:14:14.637 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 16:22:14.804 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 16:49:48.754 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 16:58:00.286 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 17:05:15.938 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 17:14:06.530 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 17:14:45.355 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 17:22:04.609 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 17:22:04.610 | INFO     | __main__:main:266 - 科幻
2024-05-30 17:22:04.633 | DEBUG    | metagpt.roles.role:_observe:431 - Story Assistant(Story Assistant) observed: ['user: 科幻...']
2024-05-30 17:22:04.634 | DEBUG    | metagpt.roles.role:_set_state:325 - actions=[], state=0
2024-05-30 17:22:04.634 | WARNING  | metagpt.utils.common:wrapper:649 - There is a exception in role's execution, in order to resume, we delete the newest role communication message in the role's memory.
2024-05-30 17:27:29.512 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 17:27:29.512 | INFO     | __main__:main:238 - 科幻
2024-05-30 17:27:29.513 | DEBUG    | metagpt.roles.role:_observe:431 - Story Assistant(Story Assistant) observed: ['user: 科幻...']
2024-05-30 17:27:29.513 | DEBUG    | metagpt.roles.role:_set_state:325 - actions=[], state=0
2024-05-30 17:27:29.513 | WARNING  | metagpt.utils.common:wrapper:649 - There is a exception in role's execution, in order to resume, we delete the newest role communication message in the role's memory.
2024-05-30 17:32:07.330 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
2024-05-30 17:32:07.331 | INFO     | __main__:main:238 - 科幻
2024-05-30 17:32:07.331 | DEBUG    | metagpt.roles.role:_observe:431 - Story Assistant(Story Assistant) observed: ['user: 科幻...']
2024-05-30 17:32:07.332 | DEBUG    | metagpt.roles.role:_set_state:325 - actions=[], state=0
2024-05-30 17:32:07.332 | WARNING  | metagpt.utils.common:wrapper:649 - There is a exception in role's execution, in order to resume, we delete the newest role communication message in the role's memory.
2024-05-30 17:37:18.664 | WARNING  | metagpt.provider.spark_api:__init__:30 - SparkLLM：当前方法无法支持异步运行。当你使用acompletion时，并不能并行访问。
